user_id,year,month,age,employment_type,residence_type,city_tier,monthly_income,income_sources_count,income_std_6m,salary_day_variance,monthly_spending,discretionary_spend_ratio,essential_spend_ratio,spending_volatility,balance_low_days,utility_bill_amount,utility_payment_ratio,utility_delay_days,bill_payment_consistency,bnpl_usage_count,bnpl_on_time_ratio,microloan_count,microloan_repayment_ratio,monthly_sales,sales_growth_rate,cashflow_variance,business_expense_ratio,late_payment_events,missed_payment_events,financial_stress_index
U2001,2026,1,,salaried,,tier2,45724.75,3.0,,2.0,35770.37,0.32,0.47,0.07,10.0,5443.0,0.8,2.0,0.59,6.0,0.57,4.0,0.57,0.0,-0.05,0.4,0.66,1.0,0.0,
U2001,2026,2,36.0,salaried,owned,tier2,32404.23,3.0,,,15779.48,0.21,,0.32,10.0,3224.0,0.89,1.0,0.51,,0.51,4.0,0.75,0.0,0.14,0.11,0.48,,0.0,0.56
U2001,2026,3,,salaried,owned,tier2,28613.63,3.0,3089.8808506027326,0.0,10461.2,0.5,0.7,0.06,2.0,4972.0,0.98,2.0,0.64,2.0,0.7,4.0,0.68,,0.3,0.5,0.56,4.0,2.0,0.73
U2001,2026,4,36.0,salaried,owned,tier2,,1.0,3792.6022805123375,,30074.02,0.23,0.59,0.18,,5475.0,,,0.81,4.0,0.82,2.0,,0.0,0.4,0.13,0.56,2.0,2.0,0.11
U2001,2026,5,36.0,salaried,owned,tier2,31565.15,2.0,6137.515796629422,0.0,13094.37,0.31,0.41,,12.0,1283.0,0.88,4.0,,6.0,0.83,1.0,0.95,0.0,0.11,0.19,0.47,3.0,2.0,
U2001,2026,6,36.0,salaried,owned,tier2,39308.52,1.0,,1.0,23350.53,0.47,0.6,0.11,3.0,3546.0,,5.0,0.93,4.0,0.91,4.0,0.59,,0.31,,0.64,4.0,2.0,0.74
U2001,2026,7,36.0,salaried,owned,tier2,30937.86,,4215.834676751165,3.0,,0.29,0.54,0.32,,4420.0,,4.0,,5.0,0.69,4.0,,,0.35,0.47,0.6,2.0,2.0,0.71
U2001,2026,8,,salaried,owned,tier2,32303.72,1.0,4271.639775348457,3.0,22618.18,0.49,0.57,0.12,8.0,3172.0,0.96,,0.93,2.0,0.83,0.0,0.5,0.0,0.03,0.42,0.78,3.0,0.0,
U2001,2026,9,36.0,salaried,,,37992.13,3.0,,7.0,16538.07,,0.6,,0.0,2156.0,0.92,3.0,0.54,,0.62,4.0,0.88,0.0,0.23,0.34,0.38,3.0,3.0,
U2001,2026,10,36.0,salaried,,,21439.57,3.0,,7.0,,0.48,0.62,0.13,4.0,4006.0,0.72,5.0,0.89,6.0,0.72,2.0,0.51,0.0,-0.14,0.36,0.52,1.0,2.0,0.75
U2001,2026,11,36.0,salaried,owned,tier2,52989.1,4.0,4005.79323279695,2.0,19504.02,0.49,0.53,0.2,8.0,3254.0,0.77,,0.89,,0.81,1.0,0.67,,,0.2,0.5,2.0,,0.12
U2001,2026,12,36.0,salaried,,tier2,51215.87,1.0,7368.61360966324,7.0,,0.45,0.57,0.28,2.0,1044.0,0.75,,0.84,,,2.0,0.62,0.0,,0.6,0.5,3.0,3.0,0.95
U2002,2026,1,55.0,self_employed,rented,tier3,77203.53,,2338.466263707803,5.0,30130.59,0.28,0.61,0.33,11.0,,0.67,,0.53,6.0,0.75,2.0,0.59,0.0,-0.19,,0.78,4.0,3.0,0.74
U2002,2026,2,55.0,self_employed,rented,tier3,69125.1,3.0,6781.3709218980375,2.0,,0.36,0.72,0.09,12.0,5889.0,0.62,5.0,0.8,0.0,0.98,,0.59,,-0.01,0.13,0.69,1.0,2.0,0.82
U2002,2026,3,55.0,self_employed,rented,,57864.38,3.0,,,23655.32,,0.76,0.15,,4190.0,0.93,,0.73,6.0,,1.0,,,0.09,0.41,0.71,1.0,1.0,0.14
U2002,2026,4,55.0,self_employed,rented,tier3,64802.15,2.0,1921.519346102865,0.0,47716.21,,0.63,0.07,10.0,4808.0,0.77,4.0,0.72,2.0,0.61,3.0,0.71,,-0.17,0.47,,,0.0,0.86
U2002,2026,5,55.0,self_employed,rented,tier3,68288.99,2.0,,2.0,28200.66,0.52,0.71,,4.0,2359.0,0.92,2.0,0.79,3.0,0.94,3.0,0.6,,0.27,0.27,0.34,,0.0,0.4
U2002,2026,6,55.0,,,tier3,61725.34,3.0,8127.242675903194,1.0,46151.18,0.35,0.47,0.26,12.0,1873.0,0.8,3.0,0.86,3.0,0.69,,,0.0,0.11,0.49,0.62,0.0,0.0,
U2002,2026,7,55.0,,,tier3,80122.48,1.0,,4.0,31180.32,0.35,0.43,0.07,12.0,5339.0,0.74,5.0,0.51,1.0,0.59,0.0,0.6,0.0,0.14,0.21,0.64,0.0,,0.79
U2002,2026,8,55.0,self_employed,rented,tier3,82477.22,2.0,3026.395810330547,7.0,60761.29,0.46,0.71,0.13,4.0,5936.0,0.65,0.0,0.64,1.0,0.57,1.0,0.97,,,0.14,0.36,2.0,3.0,0.48
U2002,2026,9,55.0,self_employed,rented,,73581.49,1.0,5540.227895751847,1.0,45950.89,0.59,0.56,,,1046.0,1.0,6.0,,2.0,0.61,2.0,0.97,0.0,,0.25,0.5,0.0,2.0,0.86
U2002,2026,10,55.0,self_employed,rented,tier3,90552.96,,3498.1154044336217,0.0,28075.74,0.4,0.57,0.22,4.0,1484.0,,8.0,0.73,1.0,0.64,1.0,0.94,0.0,0.38,0.13,0.48,4.0,3.0,0.46
U2002,2026,11,55.0,self_employed,,tier3,66866.18,3.0,7718.034186713687,1.0,30359.52,0.3,0.48,0.21,1.0,1577.0,0.87,6.0,0.94,0.0,0.92,4.0,,0.0,-0.14,0.48,0.68,4.0,0.0,
U2002,2026,12,55.0,self_employed,rented,tier3,64769.83,2.0,2913.832868448083,4.0,29887.0,0.31,0.47,0.26,2.0,5777.0,0.64,4.0,0.77,3.0,0.98,4.0,0.86,0.0,0.14,0.24,0.36,0.0,2.0,0.43
U2003,2026,1,26.0,salaried,,tier1,43075.71,,3927.405284180285,6.0,21861.18,0.52,0.5,,,3334.0,0.61,7.0,0.94,4.0,0.69,2.0,0.95,0.0,0.37,0.43,0.56,4.0,1.0,0.14
U2003,2026,2,26.0,salaried,rented,tier1,44140.4,2.0,5805.124006725372,,34265.15,0.43,,0.13,5.0,5925.0,0.82,7.0,0.81,1.0,0.67,3.0,,0.0,0.26,0.39,0.61,0.0,1.0,0.31
U2003,2026,3,,salaried,rented,tier1,44787.11,4.0,9334.897293762351,3.0,11744.27,0.37,0.51,0.09,3.0,,0.71,7.0,0.54,3.0,0.82,1.0,0.54,0.0,0.33,0.23,0.44,,2.0,
U2003,2026,4,26.0,salaried,rented,tier1,40915.67,3.0,,1.0,33568.68,,,0.3,12.0,3360.0,0.95,4.0,0.73,4.0,0.78,3.0,0.59,0.0,0.11,0.21,,4.0,1.0,0.1
U2003,2026,5,26.0,salaried,rented,tier1,38223.7,3.0,3641.56787672053,,19674.66,0.29,0.52,0.28,8.0,3600.0,0.78,8.0,,6.0,0.51,0.0,0.67,,0.22,0.19,0.39,0.0,3.0,0.3
U2003,2026,6,26.0,salaried,rented,tier1,51735.03,3.0,3293.227271423648,3.0,42316.38,0.36,0.47,0.29,,1195.0,0.67,1.0,0.74,2.0,0.7,4.0,0.52,0.0,,0.48,0.71,4.0,,0.95
U2003,2026,7,,salaried,rented,tier1,42315.62,,5986.991665823058,,,0.25,0.79,0.21,4.0,3389.0,0.7,7.0,0.86,3.0,0.84,0.0,0.62,0.0,0.19,0.46,0.71,,0.0,0.39
U2003,2026,8,26.0,salaried,rented,tier1,46416.66,2.0,3389.1447861628935,5.0,21882.07,0.46,0.62,0.21,10.0,5955.0,0.79,1.0,0.93,1.0,0.97,1.0,,0.0,0.09,0.46,,1.0,1.0,0.35
U2003,2026,9,26.0,salaried,rented,tier1,53224.72,,4267.38019577473,2.0,,,0.67,0.2,10.0,4981.0,,,0.71,4.0,0.93,,0.87,,0.27,0.11,0.74,4.0,1.0,
U2003,2026,10,26.0,salaried,rented,tier1,53815.79,2.0,,7.0,25855.17,0.43,0.75,,3.0,5611.0,0.7,1.0,0.57,2.0,0.73,4.0,0.62,0.0,0.2,0.59,0.38,0.0,3.0,0.18
U2003,2026,11,26.0,,rented,tier1,,2.0,6789.21480814532,0.0,13758.24,0.36,0.5,0.08,,5250.0,0.91,1.0,0.84,6.0,0.59,3.0,0.7,0.0,0.3,,0.33,0.0,1.0,0.43
U2003,2026,12,26.0,,rented,,44064.0,,,1.0,26498.08,0.35,,0.17,,,0.77,4.0,0.55,,0.86,4.0,0.83,,0.31,0.3,0.56,,3.0,0.74
U2004,2026,1,33.0,salaried,,tier3,64987.84,4.0,2057.139247446842,3.0,56562.11,0.28,0.67,,9.0,5421.0,0.99,0.0,0.56,4.0,0.79,0.0,0.57,0.0,0.05,0.17,0.41,0.0,,0.44
U2004,2026,2,33.0,salaried,,tier3,46630.87,2.0,6155.491701686538,,19286.01,0.43,0.76,0.34,3.0,3101.0,,3.0,0.58,6.0,0.73,0.0,0.53,0.0,,0.28,0.69,0.0,,
U2004,2026,3,33.0,salaried,owned,tier3,74079.39,3.0,3664.375497901871,5.0,59548.17,0.41,,0.34,11.0,3433.0,,2.0,,5.0,,4.0,0.61,0.0,0.28,,0.64,1.0,1.0,
U2004,2026,4,33.0,salaried,owned,tier3,59706.72,,5946.871610112601,2.0,43521.82,0.58,0.48,,,2120.0,0.88,3.0,0.94,4.0,0.59,2.0,0.72,0.0,-0.02,,0.77,3.0,1.0,0.95
U2004,2026,5,,,owned,,,4.0,6468.196862829501,5.0,27184.38,,0.58,0.26,12.0,1204.0,1.0,4.0,0.89,6.0,0.93,3.0,0.75,0.0,0.28,0.58,0.63,3.0,0.0,0.48
U2004,2026,6,33.0,salaried,owned,tier3,58009.0,2.0,1939.1450468797227,0.0,23907.13,0.46,0.6,0.26,8.0,1144.0,0.85,8.0,0.75,4.0,0.62,2.0,0.95,,0.24,0.25,0.45,,0.0,0.6
U2004,2026,7,33.0,salaried,owned,tier3,67163.43,3.0,4262.247262379097,2.0,43700.2,,0.57,,8.0,,0.73,,,2.0,,2.0,0.61,0.0,0.24,0.31,,,,0.14
U2004,2026,8,33.0,salaried,owned,tier3,48626.46,,4352.241185681964,3.0,20515.62,0.53,0.53,,12.0,,0.79,,0.88,4.0,0.9,4.0,0.93,0.0,-0.11,0.1,0.46,,1.0,0.98
U2004,2026,9,33.0,,owned,,40117.97,2.0,4086.495275323903,0.0,13728.3,0.52,0.47,0.29,2.0,5211.0,0.74,,0.75,1.0,0.85,1.0,0.74,0.0,,0.44,,1.0,3.0,0.76
U2004,2026,10,33.0,salaried,owned,tier3,,,3177.135337008875,6.0,31456.56,0.5,0.73,0.19,7.0,2262.0,0.63,4.0,0.67,0.0,0.68,3.0,0.6,0.0,-0.16,0.36,0.52,4.0,0.0,0.61
U2004,2026,11,33.0,salaried,owned,,58406.28,4.0,4535.891053560475,,43349.53,,0.69,0.31,,,0.92,,0.62,4.0,0.82,1.0,0.65,0.0,,0.49,0.55,0.0,1.0,0.66
U2004,2026,12,33.0,salaried,owned,tier3,,3.0,4652.642577775587,4.0,26115.91,0.26,,0.18,0.0,4420.0,0.75,2.0,0.95,5.0,0.71,1.0,0.59,0.0,0.23,0.4,0.8,1.0,2.0,0.7
U2005,2026,1,49.0,salaried,owned,tier3,87187.02,4.0,5338.109275721388,2.0,47417.37,,0.44,0.27,3.0,3519.0,0.72,8.0,0.75,5.0,0.96,2.0,0.96,0.0,-0.1,,0.64,3.0,3.0,0.58
U2005,2026,2,49.0,salaried,owned,tier3,82765.6,3.0,5477.663445184991,6.0,,0.2,0.61,0.2,1.0,,0.92,,,5.0,0.89,,0.97,0.0,0.34,0.4,0.57,,0.0,0.52
