avg_monthly_income,income_std_dev,income_trend,income_sources_count,salary_days_variance,avg_monthly_spend,spend_to_income_ratio,discretionary_spend_ratio,balance_low_days,cash_withdrawal_ratio,utility_payment_ratio,avg_payment_delay,missed_payments,payment_consistency_score,mobile_recharge_gap,informal_loans_count,informal_repayment_ratio,bnpl_usage_freq,bnpl_on_time_ratio,short_term_borrow_freq,repayment_borrow_ratio,avg_monthly_sales,sales_growth_rate,order_cancellation_rate,repeat_customer_ratio,business_age_months,age,residence_years,employment_years,salary_account_flag,upi_transaction_count,digital_txn_ratio,unique_merchants_per_month,avg_txn_size,account_tenure_months,num_bank_accounts,savings_ratio,emi_burden_ratio,bounce_count,self_transfer_ratio,night_txn_ratio,credit_enquiry_count,insurance_payment_ratio,loan_to_income_proxy,rd_sip_flag,overdraft_usage_flag,tax_filing_flag,gst_registered_flag
57774.2,20293.84,1.0,1.0,15.22,48027.69,0.8313,,11.0,0.3346,0.7599,38.94,5.0,15.55,,2.0,,0.0,0.6378,2.0,0.6468,-1.0,-999.0,-1.0,-1.0,-1.0,,12.8,4.6,0.0,14.0,0.5326,,384.22,24.2,2.0,0.187,0.0993,5.0,0.0941,0.125,4.0,0.6616,,0.0,0.0,0.0,0.0
133325.07,27435.9,1.0,2.0,4.46,79968.38,0.5998,0.2875,3.0,0.1522,0.8924,7.6,3.0,,12.85,0.0,,2.0,0.9435,0.0,0.8011,454190.78,,0.0475,0.8495,,18.0,,5.7,1.0,18.0,,,355.42,130.9,,0.4324,0.1219,2.0,0.1208,0.0469,1.0,0.9376,4.3884,1.0,0.0,0.0,1.0
47202.54,1913.69,1.0,1.0,0.07,36166.59,0.7662,0.2655,10.0,0.3089,0.7059,14.77,4.0,40.35,7.13,2.0,0.6243,3.0,0.6933,,0.6011,-1.0,-999.0,-1.0,,-1.0,38.0,10.7,7.5,0.0,6.0,0.535,37.0,242.73,35.9,1.0,,0.1386,4.0,0.0442,0.0704,5.0,0.699,4.9896,0.0,0.0,1.0,0.0
87492.02,4493.37,1.0,1.0,0.74,46685.74,0.5336,0.3327,5.0,0.2218,0.9275,10.46,3.0,59.84,5.92,1.0,,1.0,0.8267,,0.8455,,-999.0,-1.0,-1.0,-1.0,38.0,12.9,3.7,1.0,15.0,0.8672,50.0,232.27,102.7,1.0,0.4157,0.1511,3.0,0.075,0.0759,3.0,0.9323,5.4396,0.0,0.0,,
36771.1,6312.68,-1.0,3.0,3.84,37646.25,1.0238,0.1884,19.0,0.3693,0.6111,,7.0,,28.82,5.0,0.4364,3.0,0.3861,4.0,0.4516,126003.84,0.0086,0.2323,0.2488,95.5,22.0,1.3,0.0,0.0,6.0,0.3007,14.0,660.46,24.3,4.0,-0.0334,0.2365,7.0,,0.0865,8.0,0.5099,8.514,,1.0,0.0,1.0
72872.3,3384.6,0.0,1.0,0.69,43686.94,0.5995,0.3405,6.0,0.1933,0.983,6.48,3.0,74.66,5.0,1.0,0.865,3.0,0.9478,0.0,0.9192,-1.0,-999.0,-1.0,-1.0,,39.0,13.2,8.4,1.0,3.0,,52.0,209.03,120.2,2.0,0.404,,2.0,0.0851,0.0634,2.0,0.8531,1.3608,0.0,0.0,1.0,0.0
,5291.93,0.0,1.0,0.49,69232.16,0.5391,0.4346,4.0,0.1454,,7.87,3.0,67.85,27.47,1.0,0.8192,1.0,0.8945,0.0,0.8268,-1.0,-999.0,-1.0,-1.0,-1.0,,19.5,6.7,1.0,22.0,0.8352,57.0,302.32,120.2,1.0,0.4338,0.0282,3.0,0.0537,0.0692,1.0,0.7834,1.0152,0.0,0.0,1.0,0.0
40788.95,15505.14,0.0,,19.63,33316.41,,,11.0,0.4217,0.6056,39.47,6.0,6.85,8.73,2.0,,0.0,0.7071,2.0,0.5751,,-999.0,-1.0,-1.0,-1.0,27.0,5.2,3.4,0.0,8.0,0.6351,36.0,229.77,69.2,3.0,0.1644,0.1088,5.0,0.1268,0.141,4.0,0.7154,3.9168,0.0,0.0,1.0,0.0
38311.46,5799.7,,2.0,20.0,40230.86,1.0501,0.2017,21.0,0.4679,0.4703,34.52,4.0,41.11,10.0,6.0,0.3192,0.0,0.4212,5.0,0.418,,-0.1749,0.2825,0.2602,20.0,,1.7,0.0,1.0,8.0,0.2983,12.0,821.04,8.8,1.0,-0.0923,0.2327,4.0,0.0941,0.0862,8.0,,8.3772,0.0,0.0,0.0,0.0
54367.02,12010.59,1.0,,,36724.92,0.6755,0.3802,,0.2773,0.8617,17.0,8.0,17.93,8.88,1.0,0.7026,6.0,0.7839,1.0,0.7476,-1.0,-999.0,-1.0,,,,2.5,9.0,,2.0,0.6765,51.0,179.15,106.9,4.0,0.303,0.1175,6.0,0.0744,0.0731,2.0,0.897,4.23,1.0,0.0,1.0,0.0
,10385.25,,3.0,,54777.75,0.9209,0.2402,14.0,0.3125,0.608,50.31,3.0,35.16,53.23,,,1.0,0.6005,3.0,0.5509,167285.8,0.0132,0.2342,0.3641,62.5,35.0,5.8,3.5,0.0,12.0,0.5365,,589.01,47.3,3.0,0.0581,0.2293,3.0,0.1598,0.0754,6.0,0.6314,8.2548,1.0,1.0,1.0,0.0
54030.1,4119.48,,1.0,1.68,44953.04,0.832,0.2814,13.0,0.2787,0.6992,26.43,7.0,14.64,36.15,3.0,0.5531,3.0,0.5543,2.0,,-1.0,-999.0,-1.0,-1.0,-1.0,40.0,8.8,3.5,1.0,9.0,0.4297,33.0,337.99,31.2,2.0,0.1686,0.1782,6.0,0.088,0.0678,5.0,0.583,6.4152,0.0,0.0,0.0,
56965.9,18238.47,0.0,2.0,6.57,46729.13,0.8203,0.2584,11.0,0.2552,0.7507,38.17,4.0,26.79,40.18,2.0,0.6985,1.0,0.8017,2.0,0.5933,-1.0,-999.0,-1.0,,-1.0,21.0,1.6,5.0,,8.0,,,351.35,76.6,3.0,0.1745,0.1369,3.0,0.1208,0.0727,4.0,0.7368,4.9284,1.0,0.0,,
110404.41,,0.0,1.0,1.24,52442.09,0.475,0.4203,5.0,,0.8107,0.0,0.0,90.09,27.14,1.0,0.8399,1.0,0.8595,,0.8673,,,-1.0,-1.0,,19.0,0.6,7.6,1.0,20.0,0.8622,41.0,317.83,,2.0,0.5425,0.0643,,0.1068,0.0966,2.0,0.8743,2.3148,1.0,,,0.0
60606.98,2607.51,1.0,2.0,1.52,55528.12,0.9162,0.3671,13.0,0.2909,0.64,44.14,2.0,45.16,16.24,3.0,0.5692,0.0,0.6604,,0.5313,-1.0,-999.0,-1.0,-1.0,,26.0,3.0,0.1,1.0,16.0,0.5039,24.0,572.45,55.9,1.0,0.0823,0.1798,2.0,0.0868,0.0958,5.0,0.5897,6.4728,0.0,0.0,1.0,0.0
36114.39,14634.54,0.0,2.0,2.9,36522.48,1.0113,0.0868,18.0,,,18.66,3.0,48.45,10.0,5.0,0.4873,0.0,0.4517,4.0,0.4428,-1.0,-999.0,-1.0,-1.0,-1.0,48.0,7.4,0.0,1.0,4.0,0.2876,18.0,500.31,37.5,1.0,0.0129,0.2729,3.0,0.0732,0.1559,8.0,,9.8244,0.0,0.0,0.0,0.0
44986.54,3215.8,0.0,1.0,2.31,,0.6707,0.2018,8.0,0.2888,,20.9,,21.8,11.22,2.0,0.7935,1.0,0.8023,,0.8125,-1.0,-999.0,-1.0,-1.0,-1.0,38.0,11.4,6.5,1.0,,0.6715,41.0,182.86,86.7,1.0,0.3127,0.0823,4.0,0.0522,0.1497,3.0,0.7221,2.9628,,0.0,1.0,0.0
93399.87,6009.66,-1.0,2.0,1.13,51351.25,0.5498,,4.0,0.1807,0.9067,8.23,2.0,73.31,,0.0,0.9333,3.0,0.8279,1.0,0.7538,-1.0,-999.0,-1.0,-1.0,-1.0,18.0,0.5,9.1,1.0,14.0,0.8272,58.0,220.39,90.8,1.0,0.4103,0.0643,2.0,0.0519,0.0965,1.0,0.9093,2.3148,0.0,0.0,1.0,0.0
39029.48,6173.52,,,1.0,32051.01,0.8212,0.2239,17.0,,0.714,37.62,2.0,41.44,33.43,3.0,0.5928,1.0,0.6555,3.0,0.5656,143870.14,-0.0046,0.1449,0.5644,132.8,37.0,9.6,2.8,0.0,0.0,0.564,33.0,240.99,54.8,2.0,0.1539,0.1171,,0.0939,,5.0,,,0.0,0.0,0.0,1.0
30595.39,,1.0,1.0,0.14,30316.97,0.9909,0.1279,18.0,0.3869,0.7113,36.91,,20.95,17.25,4.0,0.606,6.0,,3.0,0.4711,-1.0,-999.0,-1.0,-1.0,-1.0,34.0,5.7,2.0,1.0,9.0,0.3867,,278.14,39.7,1.0,-0.018,0.1921,5.0,0.062,0.0742,8.0,0.5496,,,0.0,1.0,0.0
157163.4,6926.47,1.0,2.0,1.59,92380.65,0.5878,0.3976,2.0,0.1615,0.9557,19.63,4.0,51.22,18.96,0.0,0.9087,3.0,0.9665,0.0,0.9752,-1.0,-999.0,-1.0,-1.0,,26.0,5.5,9.4,1.0,22.0,,60.0,383.32,133.4,1.0,0.3838,0.0086,3.0,0.0933,0.0693,1.0,0.9106,0.3096,1.0,0.0,,
48494.6,8685.19,-1.0,1.0,2.81,31725.17,0.6542,0.2778,7.0,0.4413,,,4.0,45.49,27.64,2.0,0.6531,2.0,0.752,2.0,0.7053,146896.44,0.194,0.1242,0.6549,8.5,32.0,8.7,4.4,1.0,10.0,0.6129,43.0,183.38,63.4,1.0,0.3517,0.099,4.0,0.1326,0.0537,3.0,0.7168,,0.0,0.0,1.0,
35585.58,8572.19,-1.0,1.0,5.23,37065.94,1.0416,0.1626,19.0,0.4254,0.5258,11.0,7.0,21.63,54.7,5.0,0.4022,0.0,0.4193,4.0,0.391,-1.0,-999.0,-1.0,-1.0,-1.0,,1.6,1.4,0.0,9.0,0.2833,,481.38,34.6,1.0,-0.0569,0.2173,6.0,0.0423,0.0942,8.0,0.5086,7.8228,0.0,1.0,1.0,
