user_id,year,month,monthly_income,monthly_spending,total_transactions
U0000,2015,1,33293.67240423934,25979.180281835823,48
U0000,2015,2,46264.19169570347,19434.130244194286,31
U0000,2015,3,30537.020132344678,19334.726280954328,37
U0000,2015,4,34265.17309762818,12713.542976497341,70
U0000,2015,5,34213.47157102635,13609.964270431723,36
U0000,2015,6,37216.733128398155,15319.697914919303,55
U0000,2015,7,44195.88110962323,14697.72209282412,10
U0000,2015,8,20108.585159078204,33956.73938295111,61
U0000,2015,9,20941.448721269164,21132.47358160063,64
U0000,2015,10,38580.5944768624,17405.901614632952,60
U0000,2015,11,38274.64318669512,21357.516760899485,24
U0000,2015,12,42513.42777064236,16104.170947889117,52
U0000,2016,1,34698.46577054058,14332.392885981015,16
U0000,2016,2,35888.95856312255,18937.498509219262,46
U0000,2016,3,15042.519779475611,25636.601927164105,26
U0000,2016,4,29123.671738998262,27987.23598809605,57
U0000,2016,5,25111.400228574006,24494.651879788984,18
U0000,2016,6,23989.987852019258,25369.568325585904,34
U0000,2016,7,27324.082856500714,15670.654557207077,78
U0000,2016,8,33746.50647793362,22722.45314034491,34
U0000,2016,9,47971.672425659846,22448.87876793096,73
U0000,2016,10,20075.511645912316,17981.641978583568,27
U0000,2016,11,25339.144582021796,28844.98257666718,23
U0000,2016,12,45976.11508136885,28454.29685984767,38
U0000,2017,1,29251.622924072224,20517.605736927217,66
U0000,2017,2,19207.540194875055,19779.072798964025,46
U0000,2017,3,31607.44051748772,9188.317433514007,56
U0000,2017,4,17031.75620792594,36106.19943761574,24
U0000,2017,5,45911.34901751735,12797.543282138411,41
U0000,2017,6,37212.88252332542,28149.667530422517,78
U0000,2017,7,23857.55948188386,25131.450740390326,42
U0000,2017,8,39174.45700816108,25554.213256719395,30
U0000,2017,9,32896.25899860266,24574.69465185765,34
U0000,2017,10,41834.18140513046,32549.406403589102,54
U0000,2017,11,22363.559469831896,24603.258249630315,72
U0000,2017,12,27866.094338671828,21281.35156845556,32
U0000,2018,1,30168.217464045636,21189.83676016776,78
U0000,2018,2,35118.93496035885,20177.380061458327,49
U0000,2018,3,37301.89471859294,16581.093221074978,58
U0000,2018,4,19802.923420588762,13899.09205982743,75
U0000,2018,5,44623.095606619034,5560.908718045184,45
U0000,2018,6,29622.724869362206,11201.899251814864,42
U0000,2018,7,30515.93833215047,28539.518963887465,35
U0000,2018,8,37068.97133210256,23825.107029944957,62
U0000,2018,9,35360.73046160032,26104.246358631182,79
U0000,2018,10,28618.994521888362,23889.36787125139,13
U0000,2018,11,39382.8794083162,23004.71587651174,48
U0000,2018,12,36737.213573174675,23472.79846078657,20
U0000,2019,1,27240.818170670038,13476.48209605649,25
U0000,2019,2,23145.392433390523,9454.484905587158,45
U0000,2019,3,44486.190307743826,11522.76143530391,69
U0000,2019,4,30005.409094955932,29497.476355146613,38
U0000,2019,5,30284.279919265693,29984.022770775184,51
U0000,2019,6,33171.4869866989,18210.59146423199,74
U0000,2019,7,22316.088546347986,8658.526382134825,43
U0000,2019,8,27106.533559557378,24427.431377642475,42
U0000,2019,9,44068.36273382617,17163.04275524334,64
U0000,2019,10,22232.863054192145,21742.428542772304,51
U0000,2019,11,16777.628086241246,18411.68674228314,61
U0000,2019,12,25457.37830448498,17203.71630911592,39
U0000,2020,1,12774.55920129368,22200.322302711367,33
U0000,2020,2,46717.5122535448,24799.410596745605,58
U0000,2020,3,27468.153915986397,27511.93703275084,48
U0000,2020,4,20658.178059322472,16958.357598136387,15
U0000,2020,5,37092.26536241398,25373.697659432055,50
U0000,2020,6,41182.93144848789,26381.251638048223,48
U0000,2020,7,34148.46817241974,15647.1562746674,48
U0000,2020,8,25400.28121895959,22191.120678942647,63
U0000,2020,9,13735.634374606843,9404.44668163144,20
U0000,2020,10,22201.28408345954,12134.854677168232,75
U0000,2020,11,16400.561541087714,25207.611455872975,52
U0000,2020,12,40180.40533735252,26616.879215056655,37
U0000,2021,1,31707.353039697544,24426.505987164626,54
U0000,2021,2,22280.73523409191,12209.004674070975,31
U0000,2021,3,28254.80768804708,27283.854126523936,40
U0000,2021,4,35390.06945714726,17568.07886550946,57
U0000,2021,5,30893.621669552995,16590.605329475544,19
U0000,2021,6,33278.663244059084,15585.95822681172,46
U0000,2021,7,21447.920537163336,30857.33120356452,29
U0000,2021,8,32826.53957051315,21161.800766374003,76
U0000,2021,9,29516.912720956832,17311.310228130547,56
U0000,2021,10,36767.83202619115,15274.162258452292,14
U0000,2021,11,20033.826596683437,19681.667835266446,19
U0000,2021,12,20932.287241360747,19250.380164495076,61
U0000,2022,1,26634.599281711624,23713.78226735206,28
U0000,2022,2,29927.28971135159,20823.55778398557,43
U0000,2022,3,38267.89234792398,14973.55389128398,69
U0000,2022,4,9511.018117316635,20739.095204153793,43
U0000,2022,5,42144.85301195646,21017.991651698656,28
U0000,2022,6,32697.472056381506,21297.51919895152,33
U0000,2022,7,30538.652046774634,19435.308954759083,69
U0000,2022,8,41421.38011784271,12649.34653351701,43
U0000,2022,9,36382.13160964569,18329.302076910368,25
U0000,2022,10,20924.451631617023,17042.240705090167,60
U0000,2022,11,23757.697074863576,23504.285151659522,19
U0000,2022,12,25012.284760281447,8332.118170202406,60
U0000,2023,1,27975.4340211202,20446.813155101416,56
U0000,2023,2,41454.470297663334,22740.26602207297,38
U0000,2023,3,23244.500498000718,15142.813201995776,47
U0000,2023,4,36692.59576460377,11299.700930493127,30
U0000,2023,5,25395.037017804272,23072.62436264254,50
U0000,2023,6,39851.33003683715,28486.21709059097,79
U0000,2023,7,36127.88317534515,25347.117355948496,50
U0000,2023,8,29184.802036601843,15620.00346375669,49
U0000,2023,9,17588.431943849384,24457.088432640827,38
U0000,2023,10,30683.082995202683,21231.07410586358,57
U0000,2023,11,34777.54118741369,27554.781753457763,11
U0000,2023,12,31793.78775218866,23050.146320886353,28
U0000,2024,1,32913.23435324837,13347.185902389714,45
