user_id,risk_score,credit_score,risk_band
U2001,0.6861,488,D - Reject
U2002,0.4247,645,C - Manual Review / Collateral
U2003,0.4704,618,C - Manual Review / Collateral
U2004,0.0646,861,A - Auto Approve
U2005,0.2739,736,B - Approve with Lower Limit
U2006,0.4812,611,C - Manual Review / Collateral
U2007,0.3588,685,B - Approve with Lower Limit
U2008,0.4713,617,C - Manual Review / Collateral
U2009,0.8666,380,D - Reject
U2010,0.0598,864,A - Auto Approve
U2011,0.5864,548,D - Reject
U2012,0.1108,834,A - Auto Approve
U2013,0.1603,804,A - Auto Approve
U2014,0.5198,588,C - Manual Review / Collateral
U2015,0.6997,480,D - Reject
U2016,0.265,741,B - Approve with Lower Limit
U2017,0.7433,454,D - Reject
U2018,0.5648,561,C - Manual Review / Collateral
U2019,0.6995,480,D - Reject
U2020,0.7695,438,D - Reject
U2021,0.6149,531,D - Reject
U2022,0.9105,354,D - Reject
U2023,0.6318,521,D - Reject
U2024,0.0753,855,A - Auto Approve
U2025,0.1158,830,A - Auto Approve
U2026,0.9563,326,D - Reject
U2027,0.9673,320,D - Reject
U2028,0.1333,820,A - Auto Approve
U2029,0.1631,802,A - Auto Approve
U2030,0.8732,376,D - Reject
U2031,0.622,527,D - Reject
U2032,0.0673,860,A - Auto Approve
U2033,0.8093,414,D - Reject
U2034,0.135,819,A - Auto Approve
U2035,0.3913,665,B - Approve with Lower Limit
U2036,0.1821,791,A - Auto Approve
U2037,0.1563,806,A - Auto Approve
U2038,0.6476,511,D - Reject
U2039,0.7967,422,D - Reject
U2040,0.7697,438,D - Reject
U2041,0.2799,732,B - Approve with Lower Limit
U2042,0.1131,832,A - Auto Approve
U2043,0.482,611,C - Manual Review / Collateral
U2044,0.471,617,C - Manual Review / Collateral
U2045,0.2769,734,B - Approve with Lower Limit
U2046,0.88,372,D - Reject
U2047,0.1917,785,A - Auto Approve
U2048,0.7571,446,D - Reject
U2049,0.0516,869,A - Auto Approve
U2050,0.7071,476,D - Reject
U2051,0.8296,402,D - Reject
